Course and Program,Year,Clock Hours,Semester,Type,Subject,Level,Language,University,N,CourseCode
"Psychological test and research methods/Statistical and Empirial Methods, the Clinical Psychologist program/the Bachelor's Program in Cognitive Science",2014,60,VT,"Lectures, seminars, supervision","Scientific communication, research methods, research ethics",UG,Swe,Umeå University,,
"Introduction to Psychology, the Clincial Psychologist Program",2014,20,VT,Supervision of projects,Cognitive Psychology,UG,Swe,Umeå University,,
"Master Thesis in Psychology, 30 ECTS, the Clinical Psychologist Program",2014,20,HT,Co-supervision of thesis project,Clinical Psychology,G,Eng,Umeå University,,
"Project in Cognitive Science, the Bachelor's Program in Cognitive Science",2014,40,HT,Supervision of projects,Applied Cognitive Science,UG,Swe,Umeå University,,
"Introduction to Psychology, the Clincial Psychologist Program",2014,20,HT,Supervision of projects,Cognitive Psychology,UG,Swe,Umeå University,,
"Introduction to Psychology, the Clincial Psychologist Program",2015,24,VT,Supervision of projects,Cognitive Psychology,UG,Swe,Umeå University,,
"Basic psychology and sport psychology, the Coaching Program",2015,20,VT,"Lectures, seminars, supervision of projects",Cognitive Psychology,UG,Swe,Umeå University,,
"Master Thesis in Cognitive Science, 15 ECTS, the Master's Program in Cognitive Science",2015,15,VT,Supervision of thesis project,Cognitive Psychology,G,Eng,Umeå University,,
"Project in Cognitive Science, the Bachelor's Program in Cognitive Science",2015,110,VT,Supervision of projects,Applied Cognitive Science,UG,Swe,Umeå University,,
"Cognitive Psychology, the Clinical Psychologist Program",2015,24,HT,Supervision of projects,Cognitive Psychology,UG,Swe,Umeå University,,
"the Psychology of Organizations, Environment and Work, the Clinical Psychologist Program",2015,20,HT,Seminars,Qualitative methods,UG,Swe,Umeå University,,
"2:1 Cognition, the Clinical Psychologist Program",2016,30,VT,Lab demonstrations,Cognitive Psychology,UG,Eng,Umeå University,,
"Applied Cognitive Psychology, the Bachelor's Program in Cognitive Science",2016,60,VT,"Lectures, seminars, supervision of projects",Cognitive Psychology: Attention,UG,Swe,Umeå University,,
"Project in Cognitive Science, the Bachelor's Program in Cognitive Science",2016,110,VT,Supervision of projects,Applied Cognitive Science,UG,Swe,Umeå University,,
"the Psychology of Organizations, Environment and Work, the Clinical Psychologist Program",2016,30,VT,"Seminars, computer labs",Qualitative and Quantitative methods,UG,Swe,Umeå University,,
"2:1 Cognition, the Clinical Psychologist Program",2016,30,HT,Lab demonstrations,Cognitive Psychology,UG,Eng,Umeå University,,
